iso_a3;Pays;Annee;IntRem
PRT;PORTUGAL;2023;0,201261
PRY;PARAGUAY;2009;0,2849375
PRY;PARAGUAY;2012;0,262479
PRY;PARAGUAY;2015;0,2781305
PRY;PARAGUAY;2018;0,2830515
PRY;PARAGUAY;2020;0,2794445
PRY;PARAGUAY;2023;0,294348
QAT;QATAR;2009;0,328475
QAT;QATAR;2012;0,326812
QAT;QATAR;2015;0,348765
QAT;QATAR;2018;0,411871
QAT;QATAR;2020;0,4108185
QAT;QATAR;2023;0,4415885
ROU;ROUMANIE;2009;0,3154955
ROU;ROUMANIE;2012;0,2426885
ROU;ROUMANIE;2015;0,2413475
ROU;ROUMANIE;2018;0,215405
ROU;ROUMANIE;2020;0,22209
ROU;ROUMANIE;2023;0,242727
RUS;RUSSIE (Moscou);2009;0,445929
RUS;RUSSIE (Moscou);2012;0,431253
RUS;RUSSIE (Moscou);2015;0,374665
RUS;RUSSIE (Moscou);2018;0,4603825
RUS;RUSSIE (Moscou);2020;0,4485945
RUS;RUSSIE (Moscou);2023;0,4960675
RWA;RWANDA;2009;0,278854
RWA;RWANDA;2012;0,2969475
RWA;RWANDA;2015;0,3112465
RWA;RWANDA;2018;0,391907
RWA;RWANDA;2020;0,378954
RWA;RWANDA;2023;0,393544
SAU;ARABIE SAOUDITE;2009;0,3051455
SAU;ARABIE SAOUDITE;2012;0,3350205
SAU;ARABIE SAOUDITE;2015;0,3865415
SAU;ARABIE SAOUDITE;2018;0,4698665
SAU;ARABIE SAOUDITE;2020;0,4840785
SAU;ARABIE SAOUDITE;2023;0,5083205
SDN;SOUDAN;2009;0,3839125
SDN;SOUDAN;2012;0,354101
SDN;SOUDAN;2015;0,524522
SDN;SOUDAN;2018;0,714435
SDN;SOUDAN;2020;0,5208425
SDN;SOUDAN;2023;0,5365715
SEN;SENEGAL;2009;0,2888165
SEN;SENEGAL;2012;0,2730805
SEN;SENEGAL;2015;0,279133
SEN;SENEGAL;2018;0,288513
SEN;SENEGAL;2020;0,28792
SEN;SENEGAL;2023;0,288724
SGP;SINGAPOUR;2009;0,2846665
SGP;SINGAPOUR;2012;0,3358745
SGP;SINGAPOUR;2015;0,366668
SGP;SINGAPOUR;2018;0,357043
SGP;SINGAPOUR;2020;0,3571195
SGP;SINGAPOUR;2023;0,4105725
SLE;SIERRA LEONE;2009;0,4002665
SLE;SIERRA LEONE;2012;0,389884
SLE;SIERRA LEONE;2015;0,537052
SLE;SIERRA LEONE;2018;0,48678
SLE;SIERRA LEONE;2020;0,5063965
SLE;SIERRA LEONE;2023;0,51146
SLV;SALVADOR;2009;0,29455
SLV;SALVADOR;2012;0,323623
SLV;SALVADOR;2015;0,3596205
SLV;SALVADOR;2018;0,4067415
SLV;SALVADOR;2020;0,423721
SLV;SALVADOR;2023;0,4383605
SOM;SOMALIE;2009;0,3869955
SOM;SOMALIE;2012;0,3558535
SOM;SOMALIE;2015;0,521004
SOM;SOMALIE;2018;0,6317895
SOM;SOMALIE;2020;0,6760775
SOM;SOMALIE;2023;0,716642
SRB;SERBIE;2009;0,3674625
SRB;SERBIE;2012;0,2552155
SRB;SERBIE;2015;0,250157
SRB;SERBIE;2018;0,248424
SRB;SERBIE;2020;0,251277
SRB;SERBIE;2023;0,2641255
SSD;SOUDAN DU SUD;2009;0,3839125
SSD;SOUDAN DU SUD;2012;0,42244
SSD;SOUDAN DU SUD;2015;0,63135
SSD;SOUDAN DU SUD;2018;0,7484085
SSD;SOUDAN DU SUD;2020;0,710988
SSD;SOUDAN DU SUD;2023;0,7461105
STP;SAO TOME-ET-PRINCIPE;2009;0,3941205
STP;SAO TOME-ET-PRINCIPE;2012;0,400685
STP;SAO TOME-ET-PRINCIPE;2015;0,418672
STP;SAO TOME-ET-PRINCIPE;2018;0,5819515
STP;SAO TOME-ET-PRINCIPE;2020;0,5087415
STP;SAO TOME-ET-PRINCIPE;2023;0,521426
SUR;SURINAME;2009;0,269704
SUR;SURINAME;2012;0,2670005
SUR;SURINAME;2015;0,3109715
SUR;SURINAME;2018;0,3687095
SUR;SURINAME;2020;0,410594
SUR;SURINAME;2023;0,5102505
SVK;SLOVAQUIE;2009;0,348108
SVK;SLOVAQUIE;2012;0,2414615
SVK;SLOVAQUIE;2015;0,236901
SVK;SLOVAQUIE;2018;0,212365
SVK;SLOVAQUIE;2020;0,221687
SVK;SLOVAQUIE;2023;0,248221
SVN;SLOVENIE;2009;0,256433
SVN;SLOVENIE;2012;0,198762
SVN;SLOVENIE;2015;0,200423
SVN;SLOVENIE;2018;0,1941875
SVN;SLOVENIE;2020;0,1989685
SVN;SLOVENIE;2023;0,2047085
SWE;SUEDE;2009;0,234025
SWE;SUEDE;2012;0,2147535
SWE;SUEDE;2015;0,2141645
SWE;SUEDE;2018;0,234028
SWE;SUEDE;2020;0,21
SWE;SUEDE;2023;0,2336425
SWZ;SWAZILAND;2009;0,273779
SWZ;SWAZILAND;2012;0,2261395
SWZ;SWAZILAND;2015;0,188792
SWZ;SWAZILAND;2018;0,261895
SWZ;SWAZILAND;2020;0,3221945
SWZ;SWAZILAND;2023;0,34907
SYC;SEYCHELLES;2009;0,191425
SYC;SEYCHELLES;2012;0,207853
SYC;SEYCHELLES;2015;0,2298045
SYC;SEYCHELLES;2018;0,255575
SYC;SEYCHELLES;2020;0,273148
SYC;SEYCHELLES;2023;0,290332
SYR;SYRIE;2009;0,3349625
SYR;SYRIE;2012;0,3737565
SYR;SYRIE;2015;0,347966
SYR;SYRIE;2018;0,616247
SYR;SYRIE;2020;0,6779235
SYR;SYRIE;2023;0,732157
TCD;TCHAD;2009;0,4689705
TCD;TCHAD;2012;0,398828
TCD;TCHAD;2015;0,4183235
TCD;TCHAD;2018;0,447778
TCD;TCHAD;2020;0,4886445
TCD;TCHAD;2023;0,4872385
TGO;TOGO;2009;0,3010455
TGO;TOGO;2012;0,2730555
TGO;TOGO;2015;0,284129
TGO;TOGO;2018;0,3076185
TGO;TOGO;2020;0,315038
TGO;TOGO;2023;0,310528
THA;THAILANDE;2009;0,2577665
THA;THAILANDE;2012;0,2978695
THA;THAILANDE;2015;0,290648
THA;THAILANDE;2018;0,3178505
THA;THAILANDE;2020;0,358855
THA;THAILANDE;2023;0,3440405
TJK;TADJIKISTAN;2009;0,3148955
TJK;TADJIKISTAN;2012;0,3042365
TJK;TADJIKISTAN;2015;0,398652
TJK;TADJIKISTAN;2018;0,4610985
TJK;TADJIKISTAN;2020;0,5163045
TJK;TADJIKISTAN;2023;0,52881
TKM;TURKMENISTAN;2009;0,3359665
TKM;TURKMENISTAN;2012;0,4455955
TKM;TURKMENISTAN;2015;0,491518
TKM;TURKMENISTAN;2018;0,591839
TKM;TURKMENISTAN;2020;0,6750925
TKM;TURKMENISTAN;2023;0,737076
TLS;TIMOR ORIENTAL;2009;0,333083
TLS;TIMOR ORIENTAL;2012;0,4226295
TLS;TIMOR ORIENTAL;2015;0,4285365
TLS;TIMOR ORIENTAL;2018;0,4300435
TLS;TIMOR ORIENTAL;2020;0,4085075
TLS;TIMOR ORIENTAL;2023;0,414744
TTO;TRINITE-ET-TOBAGO;2009;0,2638375
TTO;TRINITE-ET-TOBAGO;2012;0,2737085
TTO;TRINITE-ET-TOBAGO;2015;0,3123885
TTO;TRINITE-ET-TOBAGO;2018;0,407085
TTO;TRINITE-ET-TOBAGO;2020;0,4087525
TTO;TRINITE-ET-TOBAGO;2023;0,4155465
TUN;TUNISIE;2009;0,190158
TUN;TUNISIE;2012;0,2017295
TUN;TUNISIE;2015;0,211908
TUN;TUNISIE;2018;0,222511
TUN;TUNISIE;2020;0,22114
TUN;TUNISIE;2023;0,255146
TUR;TURQUIE (Ankara);2009;0,341229
TUR;TURQUIE (Ankara);2012;0,246117
TUR;TURQUIE (Ankara);2015;0,264474
TUR;TURQUIE (Ankara);2018;0,292812
TUR;TURQUIE (Ankara);2020;0,3441155
TUR;TURQUIE (Ankara);2023;0,3505095
TWN;TAØWAN;2009;0,261404
TWN;TAØWAN;2012;0,2719465
TWN;TAØWAN;2015;0,2807895
TWN;TAØWAN;2018;0,3139295
TWN;TAØWAN;2020;0,296638
TWN;TAØWAN;2023;0,3266925
TZA;TANZANIE;2009;0,272075
TZA;TANZANIE;2012;0,221756
TZA;TANZANIE;2015;0,304227
TZA;TANZANIE;2018;0,4051585
TZA;TANZANIE;2020;0,437212
TZA;TANZANIE;2023;0,4619315
UGA;OUGANDA;2009;0,3143665
UGA;OUGANDA;2012;0,2248765
UGA;OUGANDA;2015;0,3114565
UGA;OUGANDA;2018;0,410042
UGA;OUGANDA;2020;0,434512
UGA;OUGANDA;2023;0,429592
UKR;UKRAINE;2009;0,402125
UKR;UKRAINE;2012;0,3296495
UKR;UKRAINE;2015;0,3686355
UKR;UKRAINE;2018;0,4704785
UKR;UKRAINE;2020;0,4960065
UKR;UKRAINE;2023;0,7100155
URY;URUGUAY;2009;0,2568165
URY;URUGUAY;2012;0,2610845
URY;URUGUAY;2015;0,255182
URY;URUGUAY;2018;0,34274
URY;URUGUAY;2020;0,2956545
URY;URUGUAY;2023;0,314267
USA;ETATS-UNIS (Washington, Norfolk);2009;0,217825
USA;ETATS-UNIS (Washington, Norfolk);2012;0,2184645
USA;ETATS-UNIS (Washington, Norfolk);2015;0,241509
USA;ETATS-UNIS (Washington, Norfolk);2018;0,2836395
USA;ETATS-UNIS (Washington, Norfolk);2020;0,3086695
USA;ETATS-UNIS (Washington, Norfolk);2023;0,388578
UZB;OUZBEKISTAN;2009;0,29275
UZB;OUZBEKISTAN;2012;0,33777
UZB;OUZBEKISTAN;2015;0,3603685
UZB;OUZBEKISTAN;2018;0,4680485
UZB;OUZBEKISTAN;2020;0,3866005
UZB;OUZBEKISTAN;2023;0,432161
VCT;SAINT-VINCENT-ET-LES GRENADINES;2009;0,201458
VCT;SAINT-VINCENT-ET-LES GRENADINES;2012;0,2182995
VCT;SAINT-VINCENT-ET-LES GRENADINES;2015;0,2752735
VCT;SAINT-VINCENT-ET-LES GRENADINES;2018;0,3108655
VCT;SAINT-VINCENT-ET-LES GRENADINES;2020;0,31009
VCT;SAINT-VINCENT-ET-LES GRENADINES;2023;0,321626
VEN;VENEZUELA;2009;0,386054
VEN;VENEZUELA;2012;0,376605
VEN;VENEZUELA;2015;0,58802
VEN;VENEZUELA;2018;0,569791
VEN;VENEZUELA;2020;0,541301
VEN;VENEZUELA;2023;0,551693
VNM;VIETNAM;2009;0,2697415
VNM;VIETNAM;2012;0,256249
VNM;VIETNAM;2015;0,322288
VNM;VIETNAM;2018;0,3473655
VNM;VIETNAM;2020;0,3383835
VNM;VIETNAM;2023;0,3509865
VUT;VANUATU;2009;0,2531165
VUT;VANUATU;2012;0,2970605
VUT;VANUATU;2015;0,307173
VUT;VANUATU;2018;0,336753
VUT;VANUATU;2020;0,317584
VUT;VANUATU;2023;0,3455025
XKX;KOSOVO;2009;0,3898875
XKX;KOSOVO;2012;0,290857
XKX;KOSOVO;2015;0,307683
XKX;KOSOVO;2018;0,312648
XKX;KOSOVO;2020;0,3189925
XKX;KOSOVO;2023;0,318682
YEM;YEMEN;2009;0,307379
YEM;YEMEN;2012;0,371067
YEM;YEMEN;2015;0,5569095
YEM;YEMEN;2018;0,6671115
YEM;YEMEN;2020;0,6804535
YEM;YEMEN;2023;0,73591
ZAF;AFRIQUE DU SUD (Johannesburg, Pretoria);2009;0,2983165
ZAF;AFRIQUE DU SUD (Johannesburg, Pretoria);2012;0,3318225
ZAF;AFRIQUE DU SUD (Johannesburg, Pretoria);2015;0,2690425
ZAF;AFRIQUE DU SUD (Johannesburg, Pretoria);2018;0,2941605
ZAF;AFRIQUE DU SUD (Johannesburg, Pretoria);2020;0,328066
ZAF;AFRIQUE DU SUD (Johannesburg, Pretoria);2023;0,341872
ZMB;ZAMBIE;2009;0,276108
ZMB;ZAMBIE;2012;0,240564
ZMB;ZAMBIE;2015;0,230812
ZMB;ZAMBIE;2018;0,3857685
ZMB;ZAMBIE;2020;0,345691
ZMB;ZAMBIE;2023;0,3563705
ZWE;ZIMBABWE;2009;0,3363955
ZWE;ZIMBABWE;2012;0,3300675
ZWE;ZIMBABWE;2015;0,352949
ZWE;ZIMBABWE;2018;0,363573
ZWE;ZIMBABWE;2020;0,407164
ZWE;ZIMBABWE;2023;0,517395
